"","Identifiers","c_1","c_2","c_3","c_4","n_5","n_6","n_7","n_8","r_1","r_2","r_3","r_4","C_mean","N_mean","R_mean","C_sd","N_sd","R_sd","ANOVA_p","ANOVA_padj","hclust_clusters","Z_scores_c_1","Z_scores_c_2","Z_scores_c_3","Z_scores_c_4","Z_scores_n_5","Z_scores_n_6","Z_scores_n_7","Z_scores_n_8","Z_scores_r_1","Z_scores_r_2","Z_scores_r_3","Z_scores_r_4","N_vs_C_Ttest_p","N_vs_C_Ttest_padj","log(N/C)","R_vs_C_Ttest_p","R_vs_C_Ttest_padj","log(R/C)","R_vs_N_Ttest_p","R_vs_N_Ttest_padj","log(R/N)","missing_data_c_1","missing_data_c_2","missing_data_c_3","missing_data_c_4","missing_data_n_5","missing_data_n_6","missing_data_n_7","missing_data_n_8","missing_data_r_1","missing_data_r_2","missing_data_r_3","missing_data_r_4","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"11","3HIDH_MOUSE",-0.64534158191055,-0.497272397129844,-0.141064150642489,-0.584584196930717,-0.319110611000177,-0.476136301548706,-0.129095879974955,0.287326847181866,-1.17373385933999,-0.818909111964324,-0.897396032732956,-0.223211565926775,-0.4670655816534,-0.159253986335493,-0.778312642491012,0.225671104284366,0.329804232026811,0.400135006842406,0.0711989642166595,0.733765936077016,NA,-0.447181136979419,-0.0733685106664626,0.825908002073019,-0.29379420720834,0.376415320320201,-0.0200087288125385,0.856122868841424,1.9074157055342,-1.78115015451616,-0.885366397120787,-1.08351297317705,0.618520211711919,0.180748261472411,0.790992442281521,0.307811595317907,0.236476130821627,0.844326366312773,-0.311247060837612,0.0557074723514134,0.848403079736876,-0.619058656155519,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|Q99L13|3HIDH_MOUSE","sp|Q99L13|3HIDH_MOUSE","11","11","11","3-hydroxyisobutyrate dehydrogenase, mitochondrial",1,11,11,11
"12","4F2_MOUSE",0.28534265289354,0.620709669239435,0.16422863020577,0.0841959742586376,0.0496691377838019,0.43662712258795,0.215652165835227,0.42824679691018,0.501639662450977,0.898310627085888,0.534997507765471,0.602191129519234,0.288619231649346,0.28254880577929,0.634284731705392,0.23633076016242,0.185899733307735,0.180916500047177,0.0586773614109663,0.733765936077016,NA,-0.463798126677448,0.871618729344897,-0.946068891286887,-1.26475544236323,-1.40223980178535,0.138610044184373,-0.741302611573157,0.105239952244537,0.39748714704283,1.97701365576113,0.530316634566484,0.797878710541827,0.969172679454341,0.984474082887252,-0.00607042587005591,0.0621351078653855,0.844326366312773,0.345665500056047,0.0350435263061611,0.848403079736876,0.351735925926103,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|P10852|4F2_MOUSE","sp|P10852|4F2_MOUSE","12","12","12","4F2 cell-surface antigen heavy chain",1,12,12,12
"13","5NTD_MOUSE",0.227777365359724,0.987642895471485,0.525574805345453,-0.234468387307537,-0.0371960408287535,0.781485904385324,0.777637522210028,0.33769068791419,0.644654490769828,1.44113809938089,1.00810522073884,0.754177834196419,0.376631669717281,0.464904518420197,0.962018911271493,0.513523663612468,0.394256277003141,0.353834816948536,0.167259217401822,0.764936630107464,NA,-0.794497209298914,0.822264028387877,-0.160875418900722,-1.77801466808911,-1.35827950388511,0.383625060230941,0.375436881030461,-0.560635305620656,0.0924896989534188,1.78716299814343,0.865801592620235,0.325521846428154,0.794821201328654,0.934012431249688,0.0882728487029159,0.115730441708429,0.844326366312773,0.585387241554212,0.110209917952331,0.848403079736876,0.497114392851296,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|Q61503|5NTD_MOUSE","sp|Q61503|5NTD_MOUSE","13","13","13","5-nucleotidase",1,13,13,13
"14","6PGD_MOUSE",3.47448488275164,3.77186948834143,3.66682421384711,3.07890814289888,3.53354207525492,3.50457671143464,3.52754030063029,3.60727851181164,3.34463739980198,3.7951502635191,3.66283382701837,3.42153010915775,3.49802168195976,3.54323439978287,3.5560378998743,0.305339731759415,0.044483371638358,0.209254716949336,0.923581809774501,0.9685645507687,NA,-0.294999400724398,1.21895510088921,0.684180390952555,-2.3088399788067,0.00565470430461646,-0.141804989715549,-0.024899714249134,0.381039334038902,-0.956039608051065,1.33747513763216,0.663865741206099,-0.564586717476696,0.787858313914614,0.930491596886072,0.0452127178231105,0.765873278097017,0.947311214361492,0.0580162179145374,0.911702426638625,0.977474198774047,0.0128035000914268,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|Q9DCD0|6PGD_MOUSE","sp|Q9DCD0|6PGD_MOUSE","33","33","33","6-phosphogluconate dehydrogenase, decarboxylating",1,33,33,33
"15","6PGL_MOUSE",1.60162561009323,0.748094697937056,1.18911021842801,0.995409846408503,0.410136937951023,-0.0305635314717954,0.704184745431768,0.0563833849506175,0.701594964654809,0.991444211601912,1.07379348443228,1.36761982761844,1.1335600932167,0.285035384215403,1.03361312207686,0.360481255245976,0.338241037381072,0.273976406973501,0.00979450781282461,0.601527856038249,2,1.58917642326025,-0.140448499261934,0.753240791420336,0.360719576107339,-0.825297936003433,-1.7183487961713,-0.229429164306688,-1.54215652072019,-0.234677186741377,0.352683474898336,0.519558924410967,1.11497891310769,0.0140070875840915,0.790992442281521,-0.848524709001295,0.67540030165115,0.913582670599356,-0.099946971139838,0.0147629352279247,0.848403079736876,0.748577737861457,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|Q9CQ60|6PGL_MOUSE","sp|Q9CQ60|6PGL_MOUSE","12","12","12","6-phosphogluconolactonase",1,12,12,12
"16","A16A1_MOUSE",-1.42057800012165,-0.909397020957364,-1.00465237387085,-1.49559817878905,-1.80955523272458,-1.33440718371403,-1.12854583783253,-0.953641751321435,-1.4532246820591,-0.993043435548884,-1.37812723242377,-1.06440854933809,-1.20755639343473,-1.30653750139814,-1.22220097484246,0.293493513600586,0.369693566773996,0.227373832019042,0.884206454003006,0.951426827699141,NA,-0.631420685944574,1.21143927053854,0.868033935285407,-0.901876138767511,-2.03372357898155,-0.320766038280116,0.421385266983562,1.05193247119198,-0.749115328951284,0.90988535081698,-0.478381306348932,0.652606782457493,0.690261659557951,0.89255616572543,-0.0989811079634162,0.939840318184949,0.986867479736884,-0.0146445814077314,0.713591737712167,0.935180751001735,0.0843365265556848,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|Q571I9|A16A1_MOUSE","sp|Q571I9|A16A1_MOUSE","10","10","10","Aldehyde dehydrogenase family 16 member A1",1,10,10,10
"17","A1AT4_MOUSE",-3.46122676087333,-3.26965910132383,-2.97227781937838,-6.19482550270453,-5.77446167952517,-3.31969884637651,-3.19628742283801,-3.5316885235571,-2.54887348072117,0.0262038726268372,-3.4160434082073,-3.112925299313,-3.97449729607002,-3.9555341180742,-2.26290957890366,1.4938255975527,1.2205032566882,1.56780739679635,0.208500210858486,0.766529100739804,NA,-0.0411466949338883,0.0828294831943511,0.275284696507367,-1.81024031619217,-1.53819491800905,0.0504454348600358,0.130313178004414,-0.0867471896220623,0.549297814551812,2.21580169836723,-0.0119055412249195,0.184262354496882,0.98497597393692,0.991046704130676,0.0189631779958193,0.165132191838576,0.844326366312773,1.71158771716636,0.142279442686238,0.848403079736876,1.69262453917054,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"sp|Q00897|A1AT4_MOUSE","sp|Q00897|A1AT4_MOUSE","8","8","3","Alpha-1-antitrypsin 1-4",1,8,8,3
"18","AAKG1_MOUSE",-4.51414600286059,-4.48245973975656,-3.71595131175676,-4.41545347836743,-3.62355210145441,-4.95380733131678,-5.93891184569928,-4.46954598529774,-4.95572208140965,-4.50192092192665,-4.82830924170019,-4.22077126463951,-4.28200263318534,-4.74645431594205,-4.626680877419,0.379603662710615,0.966529502936693,0.331285260486879,0.57578912182,0.827919276126821,NA,0.0620707390826346,0.114425475899996,1.38091584380693,0.225138915620723,1.53358567178978,-0.664375073240604,-2.29204847287007,0.135762678516663,-0.667538786072705,0.0822700567732723,-0.457016463884042,0.546809414577434,NA,NA,NA,0.221119962658123,0.844326366312773,-0.344678244233663,0.827043879513738,0.96378437032492,0.119773438523051,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"sp|O54950|AAKG1_MOUSE","sp|O54950|AAKG1_MOUSE","3","3","3","5-AMP-activated protein kinase subunit gamma-1",1,3,3,3
"19","AATC_MOUSE",-0.117268663513297,-0.441454881312005,-0.198063901074796,0.365793426148564,0.308861477323202,-0.0535328037850249,-0.122561331975337,-0.0392006256065685,-0.584293236922417,-0.147547144272654,-0.00876430850091836,0.194292327325165,-0.0977485049378837,0.0233916789890678,-0.136578090592706,0.338353567701252,0.193761416708936,0.329838732684839,0.73386261410459,0.888349079042718,NA,-0.170111616156915,-1.34454380894706,-0.46280921650731,1.57988156081284,1.37363370131777,0.0607848297447961,-0.189285411606309,0.112706134604323,-1.86200554539335,-0.279801728198153,0.22296804173154,0.958583058597835,0.562793528757606,0.848739432514358,0.121140183926951,0.874855511361728,0.978151505889465,-0.0388295856548222,0.442197152744732,0.854127344624196,-0.159969769581774,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|P05201|AATC_MOUSE","sp|P05201|AATC_MOUSE","12","12","12","Aspartate aminotransferase, cytoplasmic",1,12,12,12
"20","AATM_MOUSE",2.7665669935738,3.01965546306343,3.01304988684365,2.83235796123043,3.16829973220495,3.21853619007275,2.97473197168482,3.2387202870417,3.20941123332938,3.01570611460579,3.14967980928294,3.26897223968552,2.90790757617783,3.15007204525105,3.16094234922591,0.128098139883828,0.120585018235602,0.108382191974434,0.0245968724500102,0.721508258533634,1,-1.88125092757946,-0.327360438128634,-0.367916778312549,-1.47731328814627,0.585272668374263,0.893710086569953,-0.603177768514787,1.01763464299662,0.837685473798134,-0.351608302996684,0.470951691203077,1.20337294073634,0.0332830105285174,0.790992442281521,0.242164469073226,0.0243200305277046,0.844326366312773,0.253034773048082,0.897763935509749,0.974428607324683,0.0108703039748557,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|P05202|AATM_MOUSE","sp|P05202|AATM_MOUSE","23","23","23","Aspartate aminotransferase, mitochondrial",1,23,23,23
"21","AB1IP_MOUSE",-0.0101132306326299,0.336376074874735,-0.294001243221775,-0.897879635369943,-0.355408203754131,0.202603522934094,0.0992721435399737,-0.730499272757832,-0.540508588918676,0.301402082813365,0.286732561262017,-0.0231979777654097,-0.216404508587403,-0.196007952509474,0.00610701934782387,0.522351116415689,0.430956631613887,0.393953159372243,0.750897220658652,0.89429609913774,NA,0.296711461734145,1.11705758384531,-0.375420192950937,-1.8051592623865,-0.520806965768029,0.800338445663752,0.555691655615675,-1.40887046153782,-0.959049591896616,1.03425335783816,0.999521881493594,0.265732088349264,0.953989659179362,0.983808971104857,0.0203965560779293,0.523585291034373,0.861008694535009,0.222511527935227,0.5148283950345,0.875032562208809,0.202114971857298,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|Q8R5A3|AB1IP_MOUSE","sp|Q8R5A3|AB1IP_MOUSE","12","12","12","Amyloid beta A4 precursor protein-binding family B member 1-interacting protein",1,12,12,12
"22","ABCA3_MOUSE",-5.84790827157767,-5.07441232065459,-4.69299715076426,-0.233716265451477,-4.12593473320725,-5.90511130134159,-0.0661734100143825,0.122195778139478,-3.52238162918499,-0.0460336753889301,-0.33093834526424,-0.308278681986543,-3.962258502112,-2.49375591660594,-1.05190808295618,2.53170346817977,3.00209445475864,1.65204972837474,0.295553731815918,0.770704478026563,NA,-1.31308783648211,-1.00947440537546,-0.859760928183597,0.890600619594832,-0.637177001221023,-1.33554122892145,0.956364714592297,1.03030358325982,-0.400269712244814,0.964269984069032,0.852438908216705,0.861333302695761,NA,NA,NA,0.110322498842384,0.844326366312773,2.91035041915582,0.44103490976331,0.854127344624196,1.44184783364976,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"sp|Q8R420|ABCA3_MOUSE","sp|Q8R420|ABCA3_MOUSE","6","6","6","Phospholipid-transporting ATPase ABCA3",1,6,6,6
"23","ABCD3_MOUSE",-1.72311507713352,-1.30809254170532,-1.8970508325601,-0.680770854144892,-1.80263157136038,-1.19667352858376,-1.62803557808976,0.292551330166983,-2.07447261206576,-1.70154619843079,-1.55141557791172,-0.889180629793721,-1.40225732638596,-1.08369733696673,-1.5541537545505,0.540734083220116,0.952189506311935,0.49485789214652,0.634286129005642,0.844919767420077,NA,-0.570238090070832,0.0584918320593902,-0.833738513854283,1.00884002306432,-0.690699980584163,0.227283792648889,-0.426199342950052,2.48335460699803,-1.10252001868921,-0.537562757360967,-0.310125436997328,0.693113885736211,0.587176543902183,0.857776919839206,0.318559989419234,0.693059128055619,0.922016161431136,-0.151896428164537,0.424816424474579,0.851503163144666,-0.470456417583772,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|P55096|ABCD3_MOUSE","sp|P55096|ABCD3_MOUSE","11","11","11","ATP-binding cassette sub-family D member 3",1,11,11,11
"24","ABCE1_MOUSE",-1.88744768224316,-2.08939521587162,-1.76214216955088,-3.59958794522196,-5.07851262460451,-4.73678498958398,-1.54624819164234,-5.08282077108601,-3.40883080710027,-2.70850347529245,-1.78663539792172,-3.82444579806237,-2.3346432532219,-4.11109164422921,-2.9321038695942,0.854004887408102,1.71756367644707,0.891746945826708,0.167739256737745,0.764936630107464,NA,0.919399503909292,0.769483737984587,1.01242006015145,-0.351607941852498,-1.44948778257637,-1.1958062484607,1.17268896997749,-1.45268593542273,-0.209999366826612,0.309888677654972,0.994237510331661,-0.518531184870534,0.131131854293205,0.790992442281521,-1.7764483910073,0.370602494492424,0.844326366312773,-0.597460616372298,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"sp|P61222|ABCE1_MOUSE","sp|P61222|ABCE1_MOUSE","9","9","9","ATP-binding cassette sub-family E member 1",1,9,9,9
"25","ABCF1_MOUSE",-2.07130431634984,-1.85177769594484,-1.9030099656501,-1.54285580954285,-1.69264472957285,-1.68634521963039,-1.52151973392849,-1.83751292349194,-5.14328153282098,-1.79129517258381,-1.48367951599733,-1.69274487973199,-1.84223694687191,-1.68450565165592,-2.52775027528353,0.220518563732751,0.129157866210086,1.74839808953267,0.490231655433458,0.810723991382703,NA,-0.0532018627526641,0.166580215104738,0.115288327731811,0.47586158591889,0.325898360395384,0.332205200914694,0.497222489772815,0.180861587104529,-3.12875385968597,0.227133120414452,0.535106741387234,0.325798093694091,0.273586897818211,0.790992442281521,0.157731295215993,0.491688774698215,0.861008694535009,-0.685513328411618,0.406333513112408,0.849800198774195,-0.843244623627611,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"sp|Q6P542|ABCF1_MOUSE","sp|Q6P542|ABCF1_MOUSE","7","7","7","ATP-binding cassette sub-family F member 1",1,7,7,7
"26","ABCG1_MOUSE",-1.19944820554659,-0.0346441907671711,-0.734025222156962,-5.74402794969845,-1.03764495962238,-0.80022108509209,-0.641799016973732,-1.03346602515114,-0.70706218128376,-0.13640761072006,-0.972915488637309,-1.55157938104623,-1.92803639204229,-0.878282771709834,-0.841991165421839,2.58864372566437,0.192783421016601,0.587852191623191,0.547530385178911,0.822440065046853,NA,0.0112069460142225,0.794978159234662,0.324379919083899,-3.04674163113372,0.120080820719267,0.279838166871048,0.386436920785483,0.122892734568234,0.342522761132142,0.726503773753564,0.163635869775902,-0.225734440804704,0.47722590498489,0.816133294229806,1.04975362033246,0.468012550434021,0.861008694535009,1.08604522662045,0.912790875082526,0.977474198774047,0.0362916062879952,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|Q64343|ABCG1_MOUSE","sp|Q64343|ABCG1_MOUSE","11","11","11","ATP-binding cassette sub-family G member 1",1,11,11,11
